https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1614027600000,2021-02-22 21:00:00,XMR/USDT,227.26,228.55,223.05,226.01,15055.672,3401289.92516,9504
1614024000000,2021-02-22 20:00:00,XMR/USDT,221.70,228.08,221.08,227.32,18239.827,4109697.29051,10843
1614020400000,2021-02-22 19:00:00,XMR/USDT,218.42,222.32,216.59,221.75,13879.930,3055480.75993,8487
1614016800000,2021-02-22 18:00:00,XMR/USDT,213.48,219.63,209.74,218.37,14231.452,3052749.64853,13894
1614013200000,2021-02-22 17:00:00,XMR/USDT,218.82,219.90,213.04,213.55,14205.433,3081547.49628,15370
1614009600000,2021-02-22 16:00:00,XMR/USDT,215.72,221.33,213.22,218.87,22253.163,4863049.90701,12516
1614006000000,2021-02-22 15:00:00,XMR/USDT,217.73,219.81,206.34,215.82,38484.767,8163902.37124,20520
1614002400000,2021-02-22 14:00:00,XMR/USDT,217.80,220.50,182.66,217.67,69910.295,14256252.37014,33772
1613998800000,2021-02-22 13:00:00,XMR/USDT,228.05,229.06,217.49,217.94,19975.497,4453212.03983,14748
1613995200000,2021-02-22 12:00:00,XMR/USDT,234.72,235.38,223.32,227.84,24077.947,5491601.25061,15801
1613991600000,2021-02-22 11:00:00,XMR/USDT,232.11,236.19,231.87,234.66,15700.347,3679976.16020,10867
1613988000000,2021-02-22 10:00:00,XMR/USDT,228.82,232.85,225.12,232.11,19011.707,4359742.05324,12596
1613984400000,2021-02-22 09:00:00,XMR/USDT,233.96,234.61,227.13,228.83,36091.348,8354003.46697,18772
1613980800000,2021-02-22 08:00:00,XMR/USDT,240.44,240.70,233.73,233.94,9959.880,2361669.84191,7871
1613977200000,2021-02-22 07:00:00,XMR/USDT,241.59,241.67,235.64,240.45,11826.014,2831795.72665,9623
1613973600000,2021-02-22 06:00:00,XMR/USDT,236.90,242.79,235.18,241.61,8260.365,1984087.97234,7410
1613970000000,2021-02-22 05:00:00,XMR/USDT,238.40,241.72,235.90,236.90,8970.609,2149377.18211,7840
1613966400000,2021-02-22 04:00:00,XMR/USDT,238.61,240.79,231.83,238.37,28129.798,6644681.56739,16670
1613962800000,2021-02-22 03:00:00,XMR/USDT,243.11,245.07,237.44,238.60,12867.577,3092182.43299,9017
1613959200000,2021-02-22 02:00:00,XMR/USDT,244.67,245.80,241.16,243.11,7281.932,1774301.22754,6237
1613955600000,2021-02-22 01:00:00,XMR/USDT,241.97,245.67,238.56,244.65,12216.959,2964254.70436,7944
1613952000000,2021-02-22 00:00:00,XMR/USDT,247.95,249.34,241.66,241.96,13756.899,3366792.37656,9602
1613948400000,2021-02-21 23:00:00,XMR/USDT,248.22,249.89,246.85,247.96,6425.659,1597403.45424,5193
1613944800000,2021-02-21 22:00:00,XMR/USDT,246.38,248.53,244.11,248.16,7846.692,1932539.01029,6044
1613941200000,2021-02-21 21:00:00,XMR/USDT,248.16,249.54,245.06,246.38,12501.527,3091728.18509,7846
1613937600000,2021-02-21 20:00:00,XMR/USDT,255.33,255.44,247.05,248.17,18168.583,4552419.16135,12081
1613934000000,2021-02-21 19:00:00,XMR/USDT,257.65,258.61,254.09,255.30,10138.552,2604373.00927,7482
1613930400000,2021-02-21 18:00:00,XMR/USDT,255.06,257.93,253.95,257.47,5535.187,1418197.36212,5426
1613926800000,2021-02-21 17:00:00,XMR/USDT,255.42,256.50,252.69,255.06,8712.203,2217942.12770,8068
1613923200000,2021-02-21 16:00:00,XMR/USDT,258.95,261.82,255.30,255.44,17589.667,4547480.76928,11580
