https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1652036400000,2022-05-08 19:00:00,LUNA/USDT,67.02000000,67.27000000,66.10000000,66.39000000,292255.21000000,19474004.92620000,19679
1652032800000,2022-05-08 18:00:00,LUNA/USDT,66.09000000,67.89000000,64.86000000,67.04000000,691724.23000000,46146834.52320000,54414
1652029200000,2022-05-08 17:00:00,LUNA/USDT,64.71000000,66.11000000,62.61000000,66.08000000,961431.09000000,61616467.80080000,74300
1652025600000,2022-05-08 16:00:00,LUNA/USDT,64.82000000,66.73000000,64.64000000,64.70000000,504030.75000000,33077644.95780000,39388
1652022000000,2022-05-08 15:00:00,LUNA/USDT,64.62000000,66.64000000,64.33000000,64.82000000,718957.75000000,47086124.83230000,58326
1652018400000,2022-05-08 14:00:00,LUNA/USDT,60.73000000,65.28000000,60.39000000,64.64000000,1088169.15000000,68956985.88780000,83899
1652014800000,2022-05-08 13:00:00,LUNA/USDT,60.16000000,62.42000000,59.40000000,60.72000000,937971.69000000,56980401.50700000,68901
1652011200000,2022-05-08 12:00:00,LUNA/USDT,63.24000000,63.65000000,60.02000000,60.15000000,733651.47000000,45149365.20270000,47804
1652007600000,2022-05-08 11:00:00,LUNA/USDT,63.65000000,64.37000000,62.76000000,63.25000000,301141.50000000,19160016.53780000,22488
1652004000000,2022-05-08 10:00:00,LUNA/USDT,62.73000000,64.22000000,62.57000000,63.63000000,445064.41000000,28235605.80270000,30886
1652000400000,2022-05-08 09:00:00,LUNA/USDT,63.99000000,64.26000000,62.46000000,62.74000000,274368.64000000,17323776.40860000,22907
1651996800000,2022-05-08 08:00:00,LUNA/USDT,64.11000000,64.75000000,63.64000000,63.98000000,305608.10000000,19631916.16560000,26586
1651993200000,2022-05-08 07:00:00,LUNA/USDT,65.10000000,65.40000000,64.11000000,64.11000000,282299.48000000,18268792.95320000,21082
1651989600000,2022-05-08 06:00:00,LUNA/USDT,65.03000000,65.51000000,64.31000000,65.10000000,304805.98000000,19806421.56540000,23113
1651986000000,2022-05-08 05:00:00,LUNA/USDT,65.15000000,65.69000000,64.78000000,65.03000000,263439.65000000,17182074.33350000,21151
1651982400000,2022-05-08 04:00:00,LUNA/USDT,65.62000000,66.50000000,64.85000000,65.15000000,403372.97000000,26497419.57780000,26914
1651978800000,2022-05-08 03:00:00,LUNA/USDT,65.10000000,66.14000000,63.89000000,65.62000000,686994.67000000,44860841.73610000,52158
1651975200000,2022-05-08 02:00:00,LUNA/USDT,63.73000000,65.29000000,61.69000000,65.10000000,1223844.53000000,77491654.54680000,103120
1651971600000,2022-05-08 01:00:00,LUNA/USDT,65.63000000,66.22000000,63.22000000,63.73000000,685573.87000000,44261812.99020000,57956
1651968000000,2022-05-08 00:00:00,LUNA/USDT,68.13000000,68.54000000,65.40000000,65.63000000,424260.35000000,28524538.46240000,43519
1651964400000,2022-05-07 23:00:00,LUNA/USDT,65.26000000,70.72000000,64.87000000,68.13000000,1245198.49000000,85165867.99850000,105373
1651960800000,2022-05-07 22:00:00,LUNA/USDT,66.33000000,68.47000000,63.25000000,65.28000000,1094185.15000000,72013265.64740000,90477
1651957200000,2022-05-07 21:00:00,LUNA/USDT,70.65000000,70.74000000,66.25000000,66.33000000,511249.53000000,35250524.31520000,59315
1651953600000,2022-05-07 20:00:00,LUNA/USDT,72.40000000,72.44000000,70.39000000,70.65000000,328705.96000000,23446716.25990000,36463
1651950000000,2022-05-07 19:00:00,LUNA/USDT,72.63000000,72.88000000,72.35000000,72.41000000,74556.98000000,5415726.51620000,5610
1651946400000,2022-05-07 18:00:00,LUNA/USDT,72.57000000,73.16000000,72.10000000,72.64000000,118565.42000000,8609115.70800000,9043
1651942800000,2022-05-07 17:00:00,LUNA/USDT,73.22000000,73.25000000,72.48000000,72.57000000,74366.81000000,5421624.62090000,5937
1651939200000,2022-05-07 16:00:00,LUNA/USDT,73.44000000,73.59000000,72.67000000,73.23000000,71180.12000000,5209212.96820000,5997
1651935600000,2022-05-07 15:00:00,LUNA/USDT,73.08000000,73.61000000,72.98000000,73.44000000,64618.30000000,4736752.64620000,5621
1651932000000,2022-05-07 14:00:00,LUNA/USDT,73.05000000,73.47000000,72.82000000,73.07000000,90476.58000000,6618949.16990000,7743
1651928400000,2022-05-07 13:00:00,LUNA/USDT,73.48000000,73.63000000,72.55000000,73.05000000,178035.05000000,12985189.23180000,13495
1651924800000,2022-05-07 12:00:00,LUNA/USDT,73.85000000,73.94000000,73.21000000,73.48000000,93860.76000000,6903219.62830000,7975
1651921200000,2022-05-07 11:00:00,LUNA/USDT,73.88000000,74.42000000,73.46000000,73.86000000,141357.46000000,10447607.59070000,12430
1651917600000,2022-05-07 10:00:00,LUNA/USDT,73.29000000,74.19000000,73.08000000,73.88000000,146130.04000000,10768285.06330000,13020
1651914000000,2022-05-07 09:00:00,LUNA/USDT,73.47000000,73.81000000,73.02000000,73.29000000,126535.73000000,9286987.25030000,10261
1651910400000,2022-05-07 08:00:00,LUNA/USDT,73.10000000,73.77000000,72.81000000,73.47000000,172332.92000000,12629733.10480000,16689
1651906800000,2022-05-07 07:00:00,LUNA/USDT,72.25000000,73.29000000,72.08000000,73.09000000,150088.77000000,10918117.18910000,13122
1651903200000,2022-05-07 06:00:00,LUNA/USDT,73.64000000,73.77000000,72.14000000,72.27000000,208711.90000000,15211726.85750000,16659
1651899600000,2022-05-07 05:00:00,LUNA/USDT,72.86000000,73.82000000,72.61000000,73.64000000,223515.55000000,16338297.81770000,17863
1651896000000,2022-05-07 04:00:00,LUNA/USDT,75.49000000,75.57000000,72.76000000,72.83000000,418207.58000000,30907607.60920000,39656
1651892400000,2022-05-07 03:00:00,LUNA/USDT,76.46000000,76.68000000,75.17000000,75.48000000,153227.64000000,11652013.69970000,17161
1651888800000,2022-05-07 02:00:00,LUNA/USDT,76.42000000,76.95000000,76.32000000,76.47000000,96191.22000000,7367427.86980000,8566
1651885200000,2022-05-07 01:00:00,LUNA/USDT,76.75000000,77.23000000,75.96000000,76.41000000,189494.09000000,14484028.29480000,16962
1651881600000,2022-05-07 00:00:00,LUNA/USDT,77.30000000,77.50000000,76.63000000,76.76000000,171577.45000000,13212009.28120000,14351
1651878000000,2022-05-06 23:00:00,LUNA/USDT,78.52000000,78.62000000,77.22000000,77.30000000,126385.87000000,9838406.46140000,10757
1651874400000,2022-05-06 22:00:00,LUNA/USDT,78.72000000,78.86000000,78.00000000,78.52000000,66348.67000000,5206292.51220000,6968
1651870800000,2022-05-06 21:00:00,LUNA/USDT,79.32000000,79.43000000,78.45000000,78.72000000,55168.97000000,4357497.49580000,6017
1651867200000,2022-05-06 20:00:00,LUNA/USDT,79.42000000,79.59000000,78.71000000,79.32000000,194863.87000000,15407513.32570000,10852
1651863600000,2022-05-06 19:00:00,LUNA/USDT,79.59000000,80.14000000,79.18000000,79.42000000,141207.01000000,11251894.22160000,9394
1651860000000,2022-05-06 18:00:00,LUNA/USDT,79.97000000,80.04000000,79.10000000,79.59000000,110559.37000000,8799981.77460000,9150
1651856400000,2022-05-06 17:00:00,LUNA/USDT,80.66000000,80.71000000,79.75000000,79.97000000,99803.03000000,8000949.48780000,7606
