https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1652508000000,2022-05-14 06:00:00,NEO/USDT,10.358,10.408,10.199,10.349,278896.95,2878974.42295,3677
1652504400000,2022-05-14 05:00:00,NEO/USDT,10.253,10.382,10.169,10.363,39531.84,406680.94972,2894
1652500800000,2022-05-14 04:00:00,NEO/USDT,10.553,10.561,10.175,10.251,76929.27,799777.65336,3730
1652497200000,2022-05-14 03:00:00,NEO/USDT,10.633,10.730,10.481,10.562,40731.96,431686.10389,2997
1652493600000,2022-05-14 02:00:00,NEO/USDT,10.703,10.751,10.581,10.634,64942.61,693571.65103,3685
1652490000000,2022-05-14 01:00:00,NEO/USDT,10.506,10.762,10.375,10.698,68072.07,719725.39956,4306
1652486400000,2022-05-14 00:00:00,NEO/USDT,10.224,10.534,10.139,10.504,83812.48,867472.09154,5335
1652482800000,2022-05-13 23:00:00,NEO/USDT,10.411,10.429,10.126,10.223,90403.52,926804.50548,5195
1652479200000,2022-05-13 22:00:00,NEO/USDT,10.637,10.708,10.399,10.409,49655.13,524944.42828,3517
1652475600000,2022-05-13 21:00:00,NEO/USDT,10.476,10.656,10.420,10.635,70523.08,741056.24121,4127
1652472000000,2022-05-13 20:00:00,NEO/USDT,10.632,10.790,10.461,10.471,80107.25,851069.91116,5113
1652468400000,2022-05-13 19:00:00,NEO/USDT,10.725,10.725,10.555,10.632,50322.49,535414.01936,3747
1652464800000,2022-05-13 18:00:00,NEO/USDT,10.578,10.765,10.480,10.723,116478.24,1239385.60235,8761
1652461200000,2022-05-13 17:00:00,NEO/USDT,10.689,10.876,10.544,10.573,105101.26,1126247.00097,6448
1652457600000,2022-05-13 16:00:00,NEO/USDT,10.845,10.986,10.568,10.689,115148.72,1240249.67394,7645
1652454000000,2022-05-13 15:00:00,NEO/USDT,11.150,11.185,10.732,10.843,96709.77,1058294.18570,5767
1652450400000,2022-05-13 14:00:00,NEO/USDT,11.053,11.282,11.032,11.153,145765.98,1629550.52331,8175
1652446800000,2022-05-13 13:00:00,NEO/USDT,11.136,11.144,10.781,11.051,130208.86,1424774.94185,7815
1652443200000,2022-05-13 12:00:00,NEO/USDT,11.142,11.214,10.994,11.131,77842.95,864284.95313,4902
1652439600000,2022-05-13 11:00:00,NEO/USDT,11.092,11.193,10.939,11.142,96392.31,1064329.47383,5650
1652436000000,2022-05-13 10:00:00,NEO/USDT,10.996,11.114,10.813,11.091,87886.51,963572.72165,4878
1652432400000,2022-05-13 09:00:00,NEO/USDT,11.030,11.226,10.901,10.995,112606.94,1245321.78865,6759
1652428800000,2022-05-13 08:00:00,NEO/USDT,10.647,11.052,10.637,11.032,108261.58,1174868.05880,7668
1652425200000,2022-05-13 07:00:00,NEO/USDT,10.952,10.953,10.628,10.665,83912.84,905748.43956,6419
1652421600000,2022-05-13 06:00:00,NEO/USDT,10.995,11.156,10.901,10.948,88793.93,980155.78343,5922
1652418000000,2022-05-13 05:00:00,NEO/USDT,10.772,11.227,10.698,10.982,160832.95,1773055.21560,9380
1652414400000,2022-05-13 04:00:00,NEO/USDT,10.688,10.814,10.565,10.771,140833.87,1498798.70338,5884
1652410800000,2022-05-13 03:00:00,NEO/USDT,10.229,10.789,10.196,10.685,221816.36,2333260.78494,12439
1652407200000,2022-05-13 02:00:00,NEO/USDT,9.885,10.252,9.844,10.228,150333.48,1518974.99649,8731
1652403600000,2022-05-13 01:00:00,NEO/USDT,9.936,10.156,9.809,9.885,96571.50,964204.85602,7173
1652400000000,2022-05-13 00:00:00,NEO/USDT,9.775,9.962,9.643,9.941,107275.24,1051782.75337,7484
1652396400000,2022-05-12 23:00:00,NEO/USDT,9.508,9.839,9.508,9.779,67297.95,651465.34776,5125
1652392800000,2022-05-12 22:00:00,NEO/USDT,9.497,9.548,9.319,9.509,97759.26,922013.82671,6223
