https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1652785200000,2022-05-17 11:00:00,NEAR/USDT,6.74800000,6.82000000,6.71000000,6.73900000,258663.50000000,1748736.32740000,6791
1652781600000,2022-05-17 10:00:00,NEAR/USDT,6.83000000,6.83700000,6.73100000,6.74900000,277452.80000000,1882939.40330000,6693
1652778000000,2022-05-17 09:00:00,NEAR/USDT,6.84300000,6.88000000,6.82400000,6.83000000,275459.40000000,1887212.27610000,6246
1652774400000,2022-05-17 08:00:00,NEAR/USDT,6.80600000,6.89800000,6.78200000,6.84300000,374997.30000000,2567523.43500000,8247
1652770800000,2022-05-17 07:00:00,NEAR/USDT,6.92100000,6.93200000,6.79200000,6.80700000,346928.80000000,2371835.16740000,7576
1652767200000,2022-05-17 06:00:00,NEAR/USDT,6.86200000,6.95000000,6.82500000,6.92100000,295978.80000000,2034800.37820000,7285
1652763600000,2022-05-17 05:00:00,NEAR/USDT,6.84100000,6.88300000,6.75800000,6.86100000,310362.30000000,2114505.15230000,6364
1652760000000,2022-05-17 04:00:00,NEAR/USDT,6.79100000,6.85500000,6.73600000,6.84000000,492233.20000000,3341193.66730000,10712
1652756400000,2022-05-17 03:00:00,NEAR/USDT,6.69900000,6.84900000,6.67900000,6.79200000,368704.20000000,2502297.82490000,8853
1652752800000,2022-05-17 02:00:00,NEAR/USDT,6.73800000,6.76600000,6.67700000,6.70000000,271302.40000000,1820345.54510000,6131
1652749200000,2022-05-17 01:00:00,NEAR/USDT,6.74300000,6.76500000,6.66000000,6.73700000,349126.00000000,2340362.78670000,9122
1652745600000,2022-05-17 00:00:00,NEAR/USDT,6.54300000,6.80600000,6.52300000,6.74300000,527001.90000000,3517490.39300000,14335
1652742000000,2022-05-16 23:00:00,NEAR/USDT,6.66100000,6.69600000,6.48800000,6.54300000,551005.80000000,3624253.12420000,10538
1652738400000,2022-05-16 22:00:00,NEAR/USDT,6.76500000,6.80600000,6.63600000,6.65800000,547082.00000000,3686092.94030000,9731
1652734800000,2022-05-16 21:00:00,NEAR/USDT,6.66500000,6.76800000,6.64800000,6.76800000,304452.50000000,2044545.64510000,6256
1652731200000,2022-05-16 20:00:00,NEAR/USDT,6.57300000,6.66800000,6.57200000,6.66500000,198365.10000000,1313831.34890000,5629
1652727600000,2022-05-16 19:00:00,NEAR/USDT,6.68900000,6.72100000,6.53900000,6.57400000,264889.30000000,1755107.20610000,6754
1652724000000,2022-05-16 18:00:00,NEAR/USDT,6.65500000,6.72700000,6.62600000,6.68700000,365641.50000000,2439690.48060000,8394
1652720400000,2022-05-16 17:00:00,NEAR/USDT,6.47700000,6.66100000,6.45700000,6.65600000,393248.90000000,2587675.83620000,9690
1652716800000,2022-05-16 16:00:00,NEAR/USDT,6.58000000,6.63000000,6.43600000,6.47900000,645075.30000000,4202852.33020000,13490
1652713200000,2022-05-16 15:00:00,NEAR/USDT,6.56400000,6.63400000,6.43900000,6.57900000,799128.20000000,5219662.10040000,15463
1652709600000,2022-05-16 14:00:00,NEAR/USDT,6.58300000,6.69400000,6.54900000,6.56700000,471150.90000000,3120972.96000000,12179
1652706000000,2022-05-16 13:00:00,NEAR/USDT,6.68000000,6.77800000,6.56200000,6.58300000,789883.50000000,5251408.47740000,17532
1652702400000,2022-05-16 12:00:00,NEAR/USDT,6.67300000,6.81200000,6.58700000,6.68100000,878729.00000000,5892653.96000000,20400
1652698800000,2022-05-16 11:00:00,NEAR/USDT,6.78000000,6.78700000,6.65700000,6.67300000,447071.10000000,3006251.06380000,13292
1652695200000,2022-05-16 10:00:00,NEAR/USDT,6.64500000,6.80000000,6.53300000,6.78000000,1028311.10000000,6875567.98180000,23147
1652691600000,2022-05-16 09:00:00,NEAR/USDT,6.80600000,6.80600000,6.61100000,6.64600000,649737.20000000,4355814.14600000,13023
1652688000000,2022-05-16 08:00:00,NEAR/USDT,6.68700000,6.84500000,6.66700000,6.80700000,441804.30000000,2995734.47680000,10394
1652684400000,2022-05-16 07:00:00,NEAR/USDT,6.64900000,6.74800000,6.59800000,6.68900000,701841.60000000,4686000.79030000,14532
1652680800000,2022-05-16 06:00:00,NEAR/USDT,6.94600000,6.94600000,6.62000000,6.64900000,1046019.00000000,7039143.22230000,21355
1652677200000,2022-05-16 05:00:00,NEAR/USDT,6.89900000,7.03600000,6.87600000,6.94700000,330838.40000000,2302870.46900000,8683
1652673600000,2022-05-16 04:00:00,NEAR/USDT,7.04400000,7.04400000,6.83000000,6.89900000,586328.50000000,4046251.84950000,12798
1652670000000,2022-05-16 03:00:00,NEAR/USDT,7.04800000,7.12100000,6.96900000,7.04400000,465420.70000000,3276692.41420000,11360
1652666400000,2022-05-16 02:00:00,NEAR/USDT,7.05300000,7.11900000,6.96900000,7.04800000,511762.80000000,3594082.69890000,13958
1652662800000,2022-05-16 01:00:00,NEAR/USDT,7.12000000,7.19500000,7.02000000,7.05100000,698937.40000000,4964246.67950000,20514
1652659200000,2022-05-16 00:00:00,NEAR/USDT,7.34800000,7.34800000,7.08700000,7.12000000,672425.30000000,4831538.90680000,22437
1652655600000,2022-05-15 23:00:00,NEAR/USDT,7.24200000,7.40000000,7.18900000,7.34900000,559886.40000000,4081004.27260000,13849
1652652000000,2022-05-15 22:00:00,NEAR/USDT,7.20500000,7.50000000,7.20100000,7.24400000,904194.50000000,6660747.21280000,19092
1652648400000,2022-05-15 21:00:00,NEAR/USDT,7.22800000,7.27100000,7.07500000,7.20500000,419842.30000000,3006300.83740000,8986
1652644800000,2022-05-15 20:00:00,NEAR/USDT,7.16600000,7.35000000,7.11000000,7.22700000,850282.40000000,6144400.59790000,18175
1652641200000,2022-05-15 19:00:00,NEAR/USDT,6.96500000,7.19000000,6.87000000,7.16900000,860981.80000000,6042289.21660000,17548
1652637600000,2022-05-15 18:00:00,NEAR/USDT,6.68600000,6.99800000,6.62300000,6.96800000,567450.50000000,3888193.79900000,12081
1652634000000,2022-05-15 17:00:00,NEAR/USDT,6.70000000,6.78800000,6.65400000,6.68400000,301996.00000000,2028527.80810000,6736
1652630400000,2022-05-15 16:00:00,NEAR/USDT,6.67500000,6.80800000,6.62200000,6.69900000,511783.80000000,3435481.92910000,9585
1652626800000,2022-05-15 15:00:00,NEAR/USDT,6.68000000,6.77600000,6.60000000,6.67600000,370289.50000000,2473322.80180000,8522
