https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1642896000000,2022-01-23 00:00:00,QTUM/USDT,5.581,5.846,5.482,5.807,5304742.6,30072078.7307,113374
1642809600000,2022-01-22 00:00:00,QTUM/USDT,6.135,6.251,5.026,5.580,14080493.5,78534274.1156,259372
1642723200000,2022-01-21 00:00:00,QTUM/USDT,7.037,7.133,5.987,6.137,8547399.6,56279567.5761,204393
1642636800000,2022-01-20 00:00:00,QTUM/USDT,7.386,7.670,6.981,7.042,3643804.0,26993858.8947,110060
1642550400000,2022-01-19 00:00:00,QTUM/USDT,7.845,7.906,7.246,7.386,4661704.8,35009098.9601,128938
1642464000000,2022-01-18 00:00:00,QTUM/USDT,7.679,7.944,7.457,7.845,5784575.2,44708331.4947,140903
1642377600000,2022-01-17 00:00:00,QTUM/USDT,8.046,8.053,7.536,7.680,3214272.6,24995704.9863,99804
1642291200000,2022-01-16 00:00:00,QTUM/USDT,8.237,8.242,7.904,8.046,3791090.4,30522798.4400,109882
1642204800000,2022-01-15 00:00:00,QTUM/USDT,7.814,9.089,7.729,8.234,20603470.6,173668431.7667,343322
1642118400000,2022-01-14 00:00:00,QTUM/USDT,7.566,7.976,7.507,7.815,3174882.3,24585836.8077,93937
1642032000000,2022-01-13 00:00:00,QTUM/USDT,7.924,8.009,7.536,7.567,2678951.3,20912828.4351,96386
1641945600000,2022-01-12 00:00:00,QTUM/USDT,7.515,7.969,7.457,7.922,2730908.2,21074998.2499,87869
1641859200000,2022-01-11 00:00:00,QTUM/USDT,7.228,7.550,7.166,7.512,3121307.6,22919349.2006,88984
1641772800000,2022-01-10 00:00:00,QTUM/USDT,7.648,7.775,6.857,7.228,4903192.8,35554928.3662,130995
1641686400000,2022-01-09 00:00:00,QTUM/USDT,7.584,7.820,7.529,7.645,2127428.4,16331438.0476,76465
1641600000000,2022-01-08 00:00:00,QTUM/USDT,7.881,8.088,7.372,7.584,3615638.0,28042359.8890,106140
1641513600000,2022-01-07 00:00:00,QTUM/USDT,8.347,8.503,7.663,7.880,5653692.8,45166121.2445,165485
1641427200000,2022-01-06 00:00:00,QTUM/USDT,8.227,8.415,7.988,8.348,4341306.3,35553041.2310,124862
1641340800000,2022-01-05 00:00:00,QTUM/USDT,9.002,9.281,7.887,8.227,4822980.6,42287996.1826,151737
1641254400000,2022-01-04 00:00:00,QTUM/USDT,9.171,9.322,8.889,9.000,4093181.3,37376923.7445,118273
1641168000000,2022-01-03 00:00:00,QTUM/USDT,9.227,10.132,9.015,9.170,13770013.1,131258088.7437,299310
1641081600000,2022-01-02 00:00:00,QTUM/USDT,8.948,9.345,8.820,9.228,2520421.5,22990771.7890,88976
1640995200000,2022-01-01 00:00:00,QTUM/USDT,8.710,8.958,8.686,8.951,1829191.0,16161264.7397,70301
1640908800000,2021-12-31 00:00:00,QTUM/USDT,8.813,9.069,8.455,8.706,3219008.9,28339990.9691,109567
1640822400000,2021-12-30 00:00:00,QTUM/USDT,8.772,8.994,8.506,8.812,3309954.1,29011945.3999,134757
1640736000000,2021-12-29 00:00:00,QTUM/USDT,9.054,9.241,8.702,8.773,3543023.9,31823631.5583,123668
1640649600000,2021-12-28 00:00:00,QTUM/USDT,9.994,9.994,8.986,9.051,4135301.4,39215201.6495,148955
1640563200000,2021-12-27 00:00:00,QTUM/USDT,9.903,10.409,9.848,9.992,4037776.5,41012692.4454,134407
1640476800000,2021-12-26 00:00:00,QTUM/USDT,10.018,10.052,9.640,9.903,2962194.1,29129381.0772,115973
1640390400000,2021-12-25 00:00:00,QTUM/USDT,9.760,10.155,9.685,10.021,2873012.5,28530366.3146,117570
1640304000000,2021-12-24 00:00:00,QTUM/USDT,10.041,10.501,9.672,9.761,5016942.9,50570410.6281,173067
1640217600000,2021-12-23 00:00:00,QTUM/USDT,9.417,10.252,9.300,10.042,3931487.2,38383203.7821,154352
1640131200000,2021-12-22 00:00:00,QTUM/USDT,9.203,9.633,9.155,9.415,2936424.4,27723765.0078,112907
1640044800000,2021-12-21 00:00:00,QTUM/USDT,8.958,9.285,8.847,9.202,2346512.4,21439683.1529,90994
1639958400000,2021-12-20 00:00:00,QTUM/USDT,9.074,9.212,8.620,8.957,3316574.3,29499607.4227,124833
1639872000000,2021-12-19 00:00:00,QTUM/USDT,9.256,9.429,9.056,9.073,2022644.0,18655135.5376,79175
1639785600000,2021-12-18 00:00:00,QTUM/USDT,9.083,9.433,8.871,9.256,2057996.4,18953814.6498,89634
1639699200000,2021-12-17 00:00:00,QTUM/USDT,9.388,9.522,8.860,9.087,3266879.5,30146437.7841,129785
1639612800000,2021-12-16 00:00:00,QTUM/USDT,9.785,9.998,9.370,9.388,4397484.6,42845643.9742,152258
1639526400000,2021-12-15 00:00:00,QTUM/USDT,9.202,10.052,8.706,9.784,7114779.4,66624778.8955,234316
1639440000000,2021-12-14 00:00:00,QTUM/USDT,8.835,9.555,8.607,9.203,8876534.8,80906376.1130,256440
1639353600000,2021-12-13 00:00:00,QTUM/USDT,10.001,10.040,8.663,8.838,5884960.4,54558802.9874,197869
1639267200000,2021-12-12 00:00:00,QTUM/USDT,10.086,10.143,9.655,10.001,2974570.1,29592428.3192,110228
1639180800000,2021-12-11 00:00:00,QTUM/USDT,9.398,10.154,9.246,10.083,5145562.6,50499025.3710,176899
1639094400000,2021-12-10 00:00:00,QTUM/USDT,9.843,10.215,9.359,9.399,7032769.9,69214940.1269,229507
1639008000000,2021-12-09 00:00:00,QTUM/USDT,11.346,11.398,9.803,9.843,7781252.5,81056953.2770,254161
1638921600000,2021-12-08 00:00:00,QTUM/USDT,11.158,11.586,10.648,11.344,7224321.4,80511996.6595,266212
1638835200000,2021-12-07 00:00:00,QTUM/USDT,10.621,11.722,10.257,11.155,9630793.6,106652168.1785,326226
1638748800000,2021-12-06 00:00:00,QTUM/USDT,10.344,10.743,8.953,10.620,14547902.1,143458827.7392,435993
1638662400000,2021-12-05 00:00:00,QTUM/USDT,11.451,11.673,9.781,10.339,10004140.6,105502339.3673,317222
1638576000000,2021-12-04 00:00:00,QTUM/USDT,13.709,13.758,7.992,11.454,20018138.2,218198030.8996,523971
1638489600000,2021-12-03 00:00:00,QTUM/USDT,14.774,14.896,13.022,13.711,5677849.1,81086961.4897,226006
1638403200000,2021-12-02 00:00:00,QTUM/USDT,15.165,15.168,14.281,14.774,6463158.7,95656503.2787,264259
1638316800000,2021-12-01 00:00:00,QTUM/USDT,16.094,16.591,14.914,15.164,9072066.8,143849635.9606,348752
1638230400000,2021-11-30 00:00:00,QTUM/USDT,15.635,17.084,14.701,16.093,12992367.2,210112243.1480,513839
1638144000000,2021-11-29 00:00:00,QTUM/USDT,15.105,15.999,14.733,15.630,6542513.9,100914017.9341,278623
1638057600000,2021-11-28 00:00:00,QTUM/USDT,14.480,15.244,13.513,15.106,5087966.2,72200076.9235,229374
1637971200000,2021-11-27 00:00:00,QTUM/USDT,14.313,14.855,14.135,14.475,4018313.2,58384467.6497,189304
1637884800000,2021-11-26 00:00:00,QTUM/USDT,16.435,16.631,13.818,14.314,11969590.7,178500264.4416,441113
1637798400000,2021-11-25 00:00:00,QTUM/USDT,14.448,17.175,14.262,16.439,18726267.5,303068931.0475,665872
1637712000000,2021-11-24 00:00:00,QTUM/USDT,14.736,14.813,13.764,14.451,3893951.0,55577311.5236,217281
1637625600000,2021-11-23 00:00:00,QTUM/USDT,14.541,14.946,14.128,14.730,3752080.5,54766040.1376,202322
1637539200000,2021-11-22 00:00:00,QTUM/USDT,15.242,15.335,14.463,14.540,4723154.3,70359022.6491,250955
