,symbol,date,open,date_delta,clusterLabel
1448,ALGO/USDT,2022-05-01,0.5672,102.0,119
1449,ALGO/USDT,2022-04-30,0.638,101.0,121
1450,ALGO/USDT,2022-04-29,0.6984,100.0,123
1451,ALGO/USDT,2022-04-28,0.6713,99.0,124
1452,ALGO/USDT,2022-04-27,0.656,98.0,126
1453,ALGO/USDT,2022-04-26,0.7031,97.0,129
1454,ALGO/USDT,2022-04-25,0.7009,96.0,131
1455,ALGO/USDT,2022-04-24,0.7073,95.0,132
1456,ALGO/USDT,2022-04-23,0.7191,94.0,135
1457,ALGO/USDT,2022-04-22,0.7185,93.0,137
1458,ALGO/USDT,2022-04-21,0.7415,92.0,139
1459,ALGO/USDT,2022-04-20,0.7591,91.0,141
1460,ALGO/USDT,2022-04-19,0.7365,90.0,142
1461,ALGO/USDT,2022-04-18,0.7104,89.0,145
1462,ALGO/USDT,2022-04-17,0.7433,88.0,146
1463,ALGO/USDT,2022-04-16,0.7393,87.0,148
1464,ALGO/USDT,2022-04-15,0.7267,86.0,151
1465,ALGO/USDT,2022-04-14,0.7461,85.0,152
1466,ALGO/USDT,2022-04-13,0.7258,84.0,155
1467,ALGO/USDT,2022-04-12,0.6934,83.0,156
1468,ALGO/USDT,2022-04-11,0.7503,82.0,159
1469,ALGO/USDT,2022-04-10,0.7881,81.0,160
1470,ALGO/USDT,2022-04-09,0.7588,80.0,162
1471,ALGO/USDT,2022-04-08,0.7991,79.0,165
1472,ALGO/USDT,2022-04-07,0.7658,78.0,166
1473,ALGO/USDT,2022-04-06,0.8348,77.0,168
1474,ALGO/USDT,2022-04-05,0.8824,76.0,170
1475,ALGO/USDT,2022-04-04,0.9354,75.0,172
1476,ALGO/USDT,2022-04-03,0.9066,74.0,175
1477,ALGO/USDT,2022-04-02,0.9393,73.0,176
1478,ALGO/USDT,2022-04-01,0.9293,72.0,178
1479,ALGO/USDT,2022-03-31,0.9268,71.0,180
1480,ALGO/USDT,2022-03-30,0.9228,70.0,182
1481,ALGO/USDT,2022-03-29,0.9071,69.0,184
1482,ALGO/USDT,2022-03-28,0.9492,68.0,186
1483,ALGO/USDT,2022-03-27,0.9116,67.0,188
1484,ALGO/USDT,2022-03-26,0.8887,66.0,190
1485,ALGO/USDT,2022-03-25,0.8908,65.0,193
1486,ALGO/USDT,2022-03-24,0.8388,64.0,194
1487,ALGO/USDT,2022-03-23,0.8268,63.0,196
1488,ALGO/USDT,2022-03-22,0.8277,62.0,198
1489,ALGO/USDT,2022-03-21,0.7413,61.0,201
1490,ALGO/USDT,2022-03-20,0.7648,60.0,202
1491,ALGO/USDT,2022-03-19,0.7549,59.0,205
1492,ALGO/USDT,2022-03-18,0.7419,58.0,206
1493,ALGO/USDT,2022-03-17,0.7365,57.0,208
1494,ALGO/USDT,2022-03-16,0.7158,56.0,210
1495,ALGO/USDT,2022-03-15,0.7063,55.0,213
1496,ALGO/USDT,2022-03-14,0.6808,54.0,214
1497,ALGO/USDT,2022-03-13,0.705,53.0,217
1498,ALGO/USDT,2022-03-12,0.7016,52.0,218
1499,ALGO/USDT,2022-03-11,0.7312,51.0,221
1500,ALGO/USDT,2022-03-10,0.7671,50.0,223
1501,ALGO/USDT,2022-03-09,0.74,49.0,225
1502,ALGO/USDT,2022-03-08,0.7279,48.0,227
1503,ALGO/USDT,2022-03-07,0.7465,47.0,228
1504,ALGO/USDT,2022-03-06,0.7736,46.0,230
1505,ALGO/USDT,2022-03-05,0.76,45.0,232
1506,ALGO/USDT,2022-03-04,0.7965,44.0,235
1507,ALGO/USDT,2022-03-03,0.8198,43.0,237
1508,ALGO/USDT,2022-03-02,0.8564,42.0,238
1509,ALGO/USDT,2022-03-01,0.8676,41.0,241
1510,ALGO/USDT,2022-02-28,0.7979,40.0,243
