           symbol       date          open  date_delta  clusterLabel
1510    ALGO/USDT 2022-02-28      0.797900        40.0           243
1511    ALGO/USDT 2022-02-27      0.859200        39.0           244
1512    ALGO/USDT 2022-02-26      0.830200        38.0           247
1513    ALGO/USDT 2022-02-25      0.777100        37.0           248
1514    ALGO/USDT 2022-02-24      0.785200        36.0           250
1515    ALGO/USDT 2022-02-23      0.810500        35.0           252
1516    ALGO/USDT 2022-02-22      0.784600        34.0           254
1517    ALGO/USDT 2022-02-21      0.844700        33.0           257
1518    ALGO/USDT 2022-02-20      0.899200        32.0           258
1519    ALGO/USDT 2022-02-19      0.894000        31.0           261
1520    ALGO/USDT 2022-02-18      0.897900        30.0           263
1521    ALGO/USDT 2022-02-17      0.977400        29.0           265
1522    ALGO/USDT 2022-02-16      0.969600        28.0           267
1523    ALGO/USDT 2022-02-15      0.899500        27.0           269
1524    ALGO/USDT 2022-02-14      0.896500        26.0           270
1525    ALGO/USDT 2022-02-13      0.918800        25.0           272
1526    ALGO/USDT 2022-02-12      0.916100        24.0           274
1527    ALGO/USDT 2022-02-11      0.981300        23.0           276
1528    ALGO/USDT 2022-02-10      1.036600        22.0           278
1529    ALGO/USDT 2022-02-09      1.023400        21.0           280
1530    ALGO/USDT 2022-02-08      1.070900        20.0           282
1531    ALGO/USDT 2022-02-07      1.024700        19.0           285
1532    ALGO/USDT 2022-02-06      1.001700        18.0           286
1533    ALGO/USDT 2022-02-05      0.997800        17.0           288
1534    ALGO/USDT 2022-02-04      0.935300        16.0           290
1535    ALGO/USDT 2022-02-03      0.922800        15.0           293
1536    ALGO/USDT 2022-02-02      0.966300        14.0           295
1537    ALGO/USDT 2022-02-01      0.949900        13.0           296
1538    ALGO/USDT 2022-01-31      0.944800        12.0           298
1539    ALGO/USDT 2022-01-30      0.969000        11.0           300
1540    ALGO/USDT 2022-01-29      0.958400        10.0           303
1541    ALGO/USDT 2022-01-28      0.936400         9.0           305
1542    ALGO/USDT 2022-01-27      0.922700         8.0           306
1543    ALGO/USDT 2022-01-26      0.922300         7.0           308
1544    ALGO/USDT 2022-01-25      0.912500         6.0           310
1545    ALGO/USDT 2022-01-24      0.988500         5.0           313
1546    ALGO/USDT 2022-01-23      0.950600         4.0           314
1547    ALGO/USDT 2022-01-22      1.030500         3.0           317
1548    ALGO/USDT 2022-01-21      1.161000         2.0           318
1549    ALGO/USDT 2022-01-20      1.265000         1.0           321
1550    ALGO/USDT 2022-01-19      1.317100         0.0           322
1551    AVAX/USDT 2022-05-22     29.890000       123.0            56
1552    AVAX/USDT 2022-05-21     28.800000       122.0            56
1553    AVAX/USDT 2022-05-20     30.390000       121.0            56
1554    AVAX/USDT 2022-05-19     29.590000       120.0            56
1555    AVAX/USDT 2022-05-18     34.400000       119.0            56
1556    AVAX/USDT 2022-05-17     32.560000       118.0            56
1557    AVAX/USDT 2022-05-16     36.560000       117.0            56
1558    AVAX/USDT 2022-05-15     33.930000       116.0            56
1559    AVAX/USDT 2022-05-14     32.200000       115.0            56
1560    AVAX/USDT 2022-05-13     30.310000       114.0            -1
1561    AVAX/USDT 2022-05-12     31.170000       113.0            -1
1562    AVAX/USDT 2022-05-11     44.580000       112.0            -1
1563    AVAX/USDT 2022-05-10     41.200000       111.0            -1
1564    AVAX/USDT 2022-05-09     51.620000       110.0            -1
1565    AVAX/USDT 2022-05-08     55.050000       109.0            34
1566    AVAX/USDT 2022-05-07     57.000000       108.0            34
1567    AVAX/USDT 2022-05-06     59.040000       107.0            34
1568    AVAX/USDT 2022-05-05     67.280000       106.0            -1
1569    AVAX/USDT 2022-05-04     59.630000       105.0            34
1570    AVAX/USDT 2022-05-03     60.340000       104.0            34
1571    AVAX/USDT 2022-05-02     58.740000       103.0            34
1572    AVAX/USDT 2022-05-01     56.980000       102.0            34
1573    AVAX/USDT 2022-04-30     63.400000       101.0            34
1574    AVAX/USDT 2022-04-29     67.260000       100.0            -1
1575    AVAX/USDT 2022-04-28     69.860000        99.0            38
1576    AVAX/USDT 2022-04-27     68.700000        98.0            38
1577    AVAX/USDT 2022-04-26     72.900000        97.0            38
1578    AVAX/USDT 2022-04-25     71.500000        96.0            38
1579    AVAX/USDT 2022-04-24     72.840000        95.0            38
1580    AVAX/USDT 2022-04-23     74.040000        94.0            38
1581    AVAX/USDT 2022-04-22     75.010000        93.0            38
1582    AVAX/USDT 2022-04-21     78.220000        92.0            -1
1583    AVAX/USDT 2022-04-20     80.270000        91.0            39
1584    AVAX/USDT 2022-04-19     77.730000        90.0            39
1585    AVAX/USDT 2022-04-18     75.410000        89.0            39
1586    AVAX/USDT 2022-04-17     77.740000        88.0            39
1587    AVAX/USDT 2022-04-16     77.440000        87.0            39
1588    AVAX/USDT 2022-04-15     76.800000        86.0            39
1589    AVAX/USDT 2022-04-14     80.200000        85.0            39
1590    AVAX/USDT 2022-04-13     76.320000        84.0            39
1591    AVAX/USDT 2022-04-12     74.350000        83.0            39
1592    AVAX/USDT 2022-04-11     81.000000        82.0            39
1593    AVAX/USDT 2022-04-10     84.570000        81.0            -1
1594    AVAX/USDT 2022-04-09     83.660000        80.0            -1
1595    AVAX/USDT 2022-04-08     87.560000        79.0            -1
1596    AVAX/USDT 2022-04-07     82.940000        78.0            -1
1597    AVAX/USDT 2022-04-06     91.070000        77.0            -1
1598    AVAX/USDT 2022-04-05     96.160000        76.0            33
1599    AVAX/USDT 2022-04-04     98.020000        75.0            33
1600    AVAX/USDT 2022-04-03     96.250000        74.0            33
1601    AVAX/USDT 2022-04-02     96.810000        73.0            33
1602    AVAX/USDT 2022-04-01     97.430000        72.0            33
1603    AVAX/USDT 2022-03-31     95.570000        71.0            33
1604    AVAX/USDT 2022-03-30     92.730000        70.0            -1
1605    AVAX/USDT 2022-03-29     89.570000        69.0            -1
1606    AVAX/USDT 2022-03-28     89.880000        68.0            27
1607    AVAX/USDT 2022-03-27     85.870000        67.0            27
1608    AVAX/USDT 2022-03-26     83.540000        66.0            27
1609    AVAX/USDT 2022-03-25     87.570000        65.0            27
1610    AVAX/USDT 2022-03-24     85.990000        64.0            27
1611    AVAX/USDT 2022-03-23     83.970000        63.0            27
1612    AVAX/USDT 2022-03-22     86.240000        62.0            27
1613    AVAX/USDT 2022-03-21     84.870000        61.0            27
1614    AVAX/USDT 2022-03-20     89.540000        60.0            27
1615    AVAX/USDT 2022-03-19     85.720000        59.0            27
1616    AVAX/USDT 2022-03-18     79.400000        58.0            -1
1617    AVAX/USDT 2022-03-17     74.070000        57.0            -1
1618    AVAX/USDT 2022-03-16     69.820000        56.0            30
1619    AVAX/USDT 2022-03-15     68.970000        55.0            30
1620    AVAX/USDT 2022-03-14     67.920000        54.0            30
1621    AVAX/USDT 2022-03-13     70.930000        53.0            30
1622    AVAX/USDT 2022-03-12     71.230000        52.0            30
1623    AVAX/USDT 2022-03-11     73.930000        51.0            30
1624    AVAX/USDT 2022-03-10     77.600000        50.0            -1
1625    AVAX/USDT 2022-03-09     73.020000        49.0            -1
1626    AVAX/USDT 2022-03-08     71.670000        48.0            -1
1627    AVAX/USDT 2022-03-07     72.510000        47.0            -1
1628    AVAX/USDT 2022-03-06     76.690000        46.0            -1
1629    AVAX/USDT 2022-03-05     75.780000        45.0            -1
1630    AVAX/USDT 2022-03-04     78.500000        44.0            -1
1631    AVAX/USDT 2022-03-03     83.350000        43.0            -1
1632    AVAX/USDT 2022-03-02     86.890000        42.0            -1
1633    AVAX/USDT 2022-03-01     84.540000        41.0            -1
1634    AVAX/USDT 2022-02-28     75.060000        40.0            32
1635    AVAX/USDT 2022-02-27     81.810000        39.0            -1
1636    AVAX/USDT 2022-02-26     80.980000        38.0            -1
1637    AVAX/USDT 2022-02-25     76.390000        37.0            32
1638    AVAX/USDT 2022-02-24     73.460000        36.0            32
1639    AVAX/USDT 2022-02-23     74.420000        35.0            32
1640    AVAX/USDT 2022-02-22     70.030000        34.0            32
1641    AVAX/USDT 2022-02-21     77.340000        33.0            32
1642    AVAX/USDT 2022-02-20     85.010000        32.0            -1
1643    AVAX/USDT 2022-02-19     83.690000        31.0            -1
1644    AVAX/USDT 2022-02-18     88.240000        30.0            -1
1645    AVAX/USDT 2022-02-17     95.330000        29.0            -1
1646    AVAX/USDT 2022-02-16     92.960000        28.0            -1
1647    AVAX/USDT 2022-02-15     81.840000        27.0            -1
1648    AVAX/USDT 2022-02-14     77.930000        26.0            -1
1649    AVAX/USDT 2022-02-13     81.290000        25.0            -1
